[1612304100000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612304399999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612304400000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612304699999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612304700000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00006300', 1612304999999, '48.64860000', 1, '0.00006300', '48.64860000', '0']
[1612305000000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612305299999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612305300000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612305599999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612305600000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612305899999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612305900000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612306199999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612306200000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612306499999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612306500000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612306799999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612306800000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00006300', 1612307099999, '48.64860000', 1, '0.00006300', '48.64860000', '0']
[1612307100000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00006300', 1612307399999, '48.64860000', 1, '0.00006300', '48.64860000', '0']
[1612307400000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00006300', 1612307699999, '48.64860000', 1, '0.00006300', '48.64860000', '0']
[1612307700000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612307999999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
